name,pic,quote,ranking,score,score_num,star,subject
蝙蝠侠：黑暗骑士崛起,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,诺兰就是保证。,105,8.8,727631,rating45-t,https://movie.douban.com/subject/3395373/
剪刀手爱德华,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896589720.jpg,浪漫忧郁的成人童话。,106,8.7,1039965,rating45-t,https://movie.douban.com/subject/1292370/
爱在黎明破晓前,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,缘分是个连绵词，最美不过一瞬。,107,8.8,689117,rating45-t,https://movie.douban.com/subject/1296339/
入殓师,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,108,8.9,671468,rating45-t,https://movie.douban.com/subject/2149806/
勇敢的心,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,史诗大片的典范。,109,8.9,561145,rating45-t,https://movie.douban.com/subject/1294639/
第六感,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,深入内心的恐怖，出人意料的结局。,110,8.9,559791,rating45-t,https://movie.douban.com/subject/1297630/
重庆森林,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,寂寞没有期限。,111,8.8,816683,rating45-t,https://movie.douban.com/subject/1291999/
超能陆战队,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589512.jpg,Balalala~~~,112,8.7,1021753,rating45-t,https://movie.douban.com/subject/11026735/
幽灵公主,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,人与自然的战争史诗。,113,8.9,527720,rating45-t,https://movie.douban.com/subject/1297359/
甜蜜蜜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,相逢只要一瞬间，等待却像是一辈子。,114,8.9,558813,rating45-t,https://movie.douban.com/subject/1305164/
爱在日落黄昏时,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,115,8.9,565851,rating45-t,https://movie.douban.com/subject/1291990/
菊次郎的夏天,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,116,8.9,600434,rating45-t,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,曾经的那段美好会沉淀为一辈子的记忆。,117,8.9,557890,rating45-t,https://movie.douban.com/subject/4202302/
消失的爱人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,年度最佳date movie。,118,8.7,959993,rating45-t,https://movie.douban.com/subject/21318488/
天使爱美丽,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,法式小清新。,119,8.7,958257,rating45-t,https://movie.douban.com/subject/1292215/
阳光灿烂的日子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,一场华丽的意淫。,120,8.8,618001,rating45-t,https://movie.douban.com/subject/1291875/
完美的世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,坏人的好总是比好人的好来得更感人。,121,9.1,317446,rating45-t,https://movie.douban.com/subject/1300992/
小森林 夏秋篇,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,那些静得只能听见呼吸的日子里，你明白孤独即生活。,122,9.0,428605,rating45-t,https://movie.douban.com/subject/25814705/
无人知晓,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,我的平常生活就是他人的幸福。,123,9.1,321646,rating45-t,https://movie.douban.com/subject/1292337/
寄生虫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,,124,8.8,1379056,rating45-t,https://movie.douban.com/subject/27010768/
倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,两张绝世的脸。,125,8.8,742746,rating45-t,https://movie.douban.com/subject/1297447/
时空恋旅人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,126,8.8,678812,rating45-t,https://movie.douban.com/subject/10577869/
侧耳倾听,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,少女情怀总是诗。,127,8.9,466193,rating45-t,https://movie.douban.com/subject/1297052/
小森林 冬春篇,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,128,9.0,381663,rating45-t,https://movie.douban.com/subject/25814707/
幸福终点站,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,有时候幸福需要等一等。,129,8.8,575139,rating45-t,https://movie.douban.com/subject/1292274/
驯龙高手,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p490385643.jpg,和谐的生活离不开摸头与被摸头。,130,8.8,760776,rating45-t,https://movie.douban.com/subject/2353023/
未麻的部屋,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,好的剧本是，就算你猜到了结局也猜不到全部。,131,9.1,336969,rating45-t,https://movie.douban.com/subject/1395091/
一个叫欧维的男人决定去死,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,惠及一生的美丽。,132,8.9,487292,rating45-t,https://movie.douban.com/subject/26628357/
哈利·波特与火焰杯,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,,133,8.8,667851,rating45-t,https://movie.douban.com/subject/1309055/
教父3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg,任何信念的力量，都无法改变命运。,134,9.0,377422,rating45-t,https://movie.douban.com/subject/1294240/
怪兽电力公司,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2896590108.jpg,不要给它起名字，起了名字就有感情了。,135,8.8,677667,rating45-t,https://movie.douban.com/subject/1291579/
萤火之森,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,触不到的恋人。,136,8.9,543789,rating45-t,https://movie.douban.com/subject/5989818/
傲慢与偏见,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,爱是摈弃傲慢与偏见之后的曙光。,137,8.7,806751,rating45-t,https://movie.douban.com/subject/1418200/
玩具总动员3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589481.jpg,跨度十五年的欢乐与泪水。,138,8.9,521729,rating45-t,https://movie.douban.com/subject/1858711/
新世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,要做就做得狠一点，这样才能活下去。,139,8.9,440055,rating45-t,https://movie.douban.com/subject/10437779/
釜山行,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,揭露人性的丧尸题材力作。,140,8.6,1207657,rating45-t,https://movie.douban.com/subject/25986180/
神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,Mr. I Don't Care其实也有Care的时候。,141,8.7,953619,rating45-t,https://movie.douban.com/subject/3287562/
被解救的姜戈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,热血沸腾，那个低俗、性感的无耻混蛋又来了。,142,8.8,613049,rating45-t,https://movie.douban.com/subject/6307447/
玛丽和马克思,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,你是我最好的朋友，你是我唯一的朋友 。,143,9.0,423427,rating45-t,https://movie.douban.com/subject/3072124/
